npm warn exec The following package was not found and will be installed: serve@14.2.5
 WARN  Checking for updates failed (use `--debug` to see full error)
 INFO  Accepting connections at http://localhost:5173
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 GET /assets/Notifications-TkEceDsS.js
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 GET /assets/Login-ClsqoNk-.js
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 GET /assets/ForgotPassword-TUijLWOE.js
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 GET /assets/CouponManagement-CVOb-jSq.css
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 GET /assets/CouponManagement-6H02dInc.js
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 GET /assets/Checkout-qTisr60S.js
 HTTP  12/29/2025 10:21:05 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:06 AM 127.0.0.1 GET /assets/CategoryManagement-DRlnVe-5.js
 HTTP  12/29/2025 10:21:06 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:06 AM 127.0.0.1 GET /assets/Cart-DAEAUvTw.js
 HTTP  12/29/2025 10:21:06 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:06 AM 127.0.0.1 GET /assets/AdminDashboard-7pPAlmQy.js
 HTTP  12/29/2025 10:21:06 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:07 AM 127.0.0.1 GET /assets/Addresses-BCAOCti3.js
 HTTP  12/29/2025 10:21:07 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  12/29/2025 10:21:07 AM 127.0.0.1 GET /pwa-192x192.png
 HTTP  12/29/2025 10:21:07 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  12/29/2025 10:21:07 AM 127.0.0.1 GET /pwa-512x512.png
 HTTP  12/29/2025 10:21:07 AM 127.0.0.1 Returned 200 in 2 ms

 INFO  Gracefully shutting down. Please wait...
